No	Investor	Tokens	TokenSubtotal
72	0x00089aa4d3f13d18566ac992e3145ca0a594e2de	24000	6491274.048713652948171
73	0x9624198d1316505f324a6f147b0cc7a0def44e78	12000	6503274.048713652948171
74	0x8bf9e041300c3c01f75b7ecafddb5ecc706d52bb	160000	6663274.048713652948171
75	0xa91a30500a60258dc83f08bd7e29086f19e75e10	96000	6759274.048713652948171
76	0x30dea253b1ce2a04be84c37ecdf91d7394777885	10000	6769274.048713652948171
77	0x2b47358ba70bd7d16cbb4eeea7882fceb637b3c0	12000	6781274.048713652948171
78	0x021e7b432152f4e549a66a0af43fa1fc51f65844	996.30069	6782270.349403652948171
79	0xd0e2ddc691ea3c442668d7e801940223e95f9c41	111980	6894250.349403652948171
80	0xe2f7be981406d5ecfe37bc53688b7c8157b45310	995.800021	6895246.149424652948171
81	0x35700c4a7bd65048f01d6675f09d15771c0facd5	500	6895746.149424652948171
82	0xf23e8062331185e4283efa03f55d21130f48c5ef	4000	6899746.149424652948171
83	0xc2780478a6d2d0fd160d9784d0dc63db9b5a69e9	1000	6900746.149424652948171
84	0x6a691cf2fb2c66863cbff7c6aed7a53b2d1423ce	12000	6912746.149424652948171
85	0x3833f8dbdbd6bdcb6a883ff209b869148965b364	36000	6948746.149424652948171
86	0xf09c63a2b47d7b383ecc517a295727312384eaed	3000	6951746.149424652948171
87	0x0eab155d4f30dbd30a12f2f81a35e261d87b1f6e	15000	6966746.149424652948171
88	0x9ce315b846c211a05f9de5578c74b875de470783	25000	6991746.149424652948171
89	0x18c85a8a293cea93f383f27379dc3628a09e5164	10000	7001746.149424652948171
90	0x41a6021a6dc82cbb0cd7ee0e3855654d225f48c6	4000	7005746.149424652948171
91	0xb7d2c65847b7e28d53a5ea41f4dd2b8053b845d4	4000	7009746.149424652948171
92	0xcaabd7fe178d47d9252faac1a862e01fc19391af	4000	7013746.149424652948171
93	0x86d266f736d5a240038d1948db1f3aba7e7e5736	67000	7080746.149424652948171
94	0x8f734006a0a207fc007d2b3ff7d9eebb6d197b79	1000	7081746.149424652948171
95	0x3e8e129906cb01390b826129456b1aeefe30405e	72000	7153746.149424652948171
96	0x304fce8619acc52ac767a206dff63569b947fbdf	2000	7155746.149424652948171
97	0x9eae05142229e0578479fb3b59fee4b976b18d50	8000	7163746.149424652948171
98	0x735e313af49c0096663f006b1dfb71ee1dcb605b	23900	7187646.149424652948171
99	0x00ba3dff8f7dbbf1d0888f9c117c04891619c073	30000	7217646.149424652948171
100	0x009c509d412782c07e489df8702cb2333f3ca07a	5000	7222646.149424652948171
101	0x9c5df720a4454ec6754b17ba63d79b62e4493b31	480000	7702646.149424652948171
102	0x2cc17a82d927a66eaf39acf5dbedce7f5d351f1f	4500	7707146.149424652948171
103	0x760739f49fc2936a59745644a94a5400c62a4b22	6000	7713146.149424652948171
104	0x2561a6f4f32908f2bef562987da896701ec943ae	4000	7717146.149424652948171
105	0x0038f3843c67080c93489a5a77f0598f100bc210	90000	7807146.149424652948171
106	0x06668d8be4ae761676342f75226ee779eee11b58	1000	7808146.149424652948171
107	0x2a9c8f8f71622427a5ec781cf4922e95343ef98d	480000	8288146.149424652948171
108	0x003c6df13f3c95f12e0f3e2c82e3980d9732558b	5000	8293146.149424652948171
109	0x00420fb5d1dbf618f2b1056d4575f3988d605d0c	36000	8329146.149424652948171
110	0xf6dd631279377205818c3a6725eeefb9d0f6b9f3	1200000	9529146.149424652948171
111	0x3d9628642466e692a99511fc0276173d178c6696	1400	9530546.149424652948171
112	0x5cc7c781e224d0ad085dd1dfab22e4ad0f215d2f	10000	9540546.149424652948171
113	0xc673dadcca43ad4ff7f3c99419fd35e1578ad1ec	220000	9760546.149424652948171
114	0xf9ddbc054f2544037ef3248730a7303b3b5c438f	12000	9772546.149424652948171
115	0x26cb641c38fb76df2817bf4b64cdbc05a50d00ce	2000	9774546.149424652948171
116	0x96f00343cc980f5c4b200d6291b09a9c3592012f	1000	9775546.149424652948171
117	0xcc6c95e8bc9fe7b9ddccded787276b70728bd91d	30000	9805546.149424652948171
118	0xd7c76bc2a222712bd408a1b4845e94cb5ffb8d47	500	9806046.149424652948171
119	0x007eb3243e9d74b28c0586838f02220446d4868b	5000	9811046.149424652948171
120	0xba079b44c7079615cb7e56b1e4e0fd566db419df	10000	9821046.149424652948171
121	0x1894a5bc142ef208b6bc5023b5403e26007a3f5f	60000	9881046.149424652948171
122	0x6ec294e89262e36c6462a4192b9ccd73162cd85b	7000	9888046.149424652948171
123	0x2781012303332435f8301a6038713c77fd7994f4	10000	9898046.149424652948171
124	0x82b3b3fffd8680967305debf1816fe49b090670d	5000	9903046.149424652948171
